date,sessionSource,sessions_last_30_days,activeUsers_last_30_days,screenPageViews_last_30_days
2025-07-03,bing,7,6,14
2025-07-03,youtube.com,7,6,15
2025-07-06,bing,7,5,26
2025-07-06,probance,7,6,18
2025-07-07,duckduckgo,7,4,19
2025-07-07,youtube.com,7,6,31
2025-07-08,(data not available),7,7,46
2025-07-08,secure.payplug.com,7,4,32
2025-07-09,bing,7,6,211
2025-07-10,m.facebook.com,7,3,67
2025-06-12,(data not available),6,6,10
2025-06-15,secure.payplug.com,6,3,19
2025-06-16,(not set),6,6,11
2025-06-16,secure.payplug.com,6,4,31
2025-06-19,(data not available),6,6,165
2025-06-19,bing,6,3,27
2025-06-19,probance,6,4,25
2025-06-20,bing,6,4,43
2025-06-20,fb,6,2,13
2025-06-21,(data not available),6,6,29
2025-06-21,secure.payplug.com,6,3,7
2025-06-22,(data not available),6,6,101
2025-06-24,secure.payplug.com,6,5,49
2025-06-27,secure.payplug.com,6,3,12
2025-06-28,bing,6,3,76
2025-06-30,bing,6,5,8
2025-07-02,(not set),6,6,4
2025-07-03,qwant.com,6,2,16
2025-07-04,bing,6,3,17
2025-07-05,bing,6,5,63
2025-07-06,ecosia.org,6,6,8
2025-06-11,(data not available),5,5,15
2025-06-14,(data not available),5,5,9
2025-06-15,qwant.com,5,4,35
2025-06-16,(data not available),5,5,28
2025-06-19,secure.payplug.com,5,3,23
2025-06-20,checkout.getalma.eu,5,2,13
2025-06-20,hattila.com,5,4,4
2025-06-22,bing,5,4,7
2025-06-22,checkout.getalma.eu,5,1,22
2025-06-22,probance,5,5,72
2025-06-23,(data not available),5,5,18
2025-06-23,secure.payplug.com,5,3,49
2025-06-24,bing,5,4,24
2025-06-29,secure.payplug.com,5,4,18
2025-07-01,m.facebook.com,5,3,9
2025-07-03,(not set),5,4,88
2025-06-13,(not set),4,4,19
2025-06-14,hattila.com,4,4,7
2025-06-15,(data not available),4,3,5
2025-06-16,qwant.com,4,4,7
2025-06-18,qwant.com,4,4,8
2025-06-19,mail02.orange.fr,4,2,59
2025-06-19,qwant.com,4,4,4
2025-06-23,(not set),4,3,102
2025-06-23,qwant.com,4,4,12
2025-06-25,secure.payplug.com,4,2,20
2025-06-26,(data not available),4,3,9
2025-06-26,bing,4,3,8
2025-06-28,(not set),4,4,10
2025-06-28,m.facebook.com,4,3,33
2025-06-29,ecosia.org,4,4,19
2025-06-30,secure.payplug.com,4,3,11
2025-07-02,checkout.getalma.eu,4,3,20
2025-07-03,(data not available),4,4,31
2025-07-03,fr.search.yahoo.com,4,3,12
2025-07-04,youtube.com,4,4,38
2025-07-05,secure.payplug.com,4,2,45
2025-07-06,(data not available),4,4,25
2025-07-06,chatgpt.com,4,3,7
2025-07-06,hattila.com,4,3,3
2025-07-07,secure.payplug.com,4,3,38
2025-07-08,(not set),4,4,0
2025-07-09,(data not available),4,4,40
2025-07-10,(not set),4,4,31
2025-07-10,checkout.getalma.eu,4,2,80
2025-06-11,duckduckgo,3,2,3
2025-06-11,ecosia.org,3,3,19
2025-06-11,fr.search.yahoo.com,3,1,13
2025-06-13,redirect.ppro.com,3,1,3
2025-06-14,search.lilo.org,3,1,21
2025-06-14,secure.payplug.com,3,3,5
2025-06-16,hattila.com,3,3,5
2025-06-17,mail02.orange.fr,3,1,62
2025-06-19,checkout.getalma.eu,3,2,13
2025-06-20,chatgpt.com,3,2,13
2025-06-20,mail02.orange.fr,3,2,27
2025-06-21,bing,3,2,19
2025-06-21,hattila.com,3,2,3
2025-06-22,fr.search.yahoo.com,3,3,71
2025-06-22,secure.payplug.com,3,2,7
2025-06-23,ecosia.org,3,3,3
2025-06-24,ig,3,2,8
2025-06-25,ecosia.org,3,3,6
2025-06-27,hattila.com,3,3,3
2025-06-27,ig,3,2,6
2025-06-27,mail01.orange.fr,3,2,5
2025-06-29,(data not available),3,3,30
2025-06-30,(not set),3,3,3
2025-07-01,hattila.com,3,3,3
2025-07-02,(data not available),3,3,19
2025-07-02,hattila.com,3,3,9
2025-07-02,l.facebook.com,3,3,32
2025-07-04,ig,3,3,10
2025-07-05,(data not available),3,3,17
2025-07-07,m.facebook.com,3,3,4
2025-07-07,qwant.com,3,2,24
2025-07-08,checkout.getalma.eu,3,2,61
2025-07-08,hattila.com,3,3,3
2025-07-09,checkout.getalma.eu,3,2,36
2025-07-09,fr.search.yahoo.com,3,2,34
2025-07-09,m.facebook.com,3,3,61
2025-07-10,bing,3,3,67
2025-07-10,qwant.com,3,3,7
2025-06-11,m.facebook.com,2,2,3
2025-06-11,qwant.com,2,1,34
2025-06-12,ig,2,2,2
2025-06-13,duckduckgo,2,2,3
2025-06-13,hattila.com,2,2,2
2025-06-14,(not set),2,2,110
2025-06-14,checkout.getalma.eu,2,2,4
2025-06-14,fr.search.yahoo.com,2,2,3
2025-06-15,chatgpt.com,2,2,12
2025-06-15,m.facebook.com,2,1,3
2025-06-16,chatgpt.com,2,0,2
2025-06-16,m.facebook.com,2,2,48
2025-06-16,search.brave.com,2,1,4
2025-06-17,(data not available),2,2,19
2025-06-17,(not set),2,2,0
2025-06-17,l.facebook.com,2,2,25
2025-06-18,fr.search.yahoo.com,2,2,2
2025-06-18,hattila.com,2,2,2
2025-06-18,m.facebook.com,2,2,4
